2025-07-11 15:19:39,454 INFO    MainThread:2102245 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_setup.py:_flush():80] Configure stats pid to 2102245
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_setup.py:_flush():80] Loading settings from /home/weishu/.config/wandb/settings
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_setup.py:_flush():80] Loading settings from /home/weishu/Desktop/online_adaptive_cbf/nn_model/wandb/settings
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/weishu/Desktop/online_adaptive_cbf/nn_model/wandb/run-20250711_151939-tj4jutat/logs/debug.log
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/weishu/Desktop/online_adaptive_cbf/nn_model/wandb/run-20250711_151939-tj4jutat/logs/debug-internal.log
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_init.py:init():830] calling init triggers
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 500, 'batch_size': 32, '_wandb': {}}
2025-07-11 15:19:39,455 INFO    MainThread:2102245 [wandb_init.py:init():871] starting backend
2025-07-11 15:19:39,680 INFO    MainThread:2102245 [wandb_init.py:init():874] sending inform_init request
2025-07-11 15:19:39,700 INFO    MainThread:2102245 [wandb_init.py:init():882] backend started and connected
2025-07-11 15:19:39,771 INFO    MainThread:2102245 [wandb_init.py:init():953] updated telemetry
2025-07-11 15:19:39,785 INFO    MainThread:2102245 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-11 15:19:40,287 INFO    MainThread:2102245 [wandb_init.py:init():1029] starting run threads in backend
2025-07-11 15:19:40,353 INFO    MainThread:2102245 [wandb_run.py:_console_start():2458] atexit reg
2025-07-11 15:19:40,354 INFO    MainThread:2102245 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-11 15:19:40,354 INFO    MainThread:2102245 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-11 15:19:40,354 INFO    MainThread:2102245 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-11 15:19:40,354 INFO    MainThread:2102245 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-11 15:20:10,355 INFO    MsgRouterThr:2102245 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
